pca_feature_0,Label
1121.6715261610198,Benign
-341.22949706607875,Benign
7976.131142009076,Benign
1031.3105325622755,Benign
-1748.8959978266957,Benign
-3546.820026830282,Benign
-1511.2348992722664,Benign
13680.058099652924,Benign
-2588.462816597781,Benign
294.0560910169237,Benign
-4382.084655199279,Benign
-2380.9494285142746,Benign
1850.8530225842783,Benign
645.638778406623,Benign
-1664.8099991569793,Benign
-1896.265207886987,Benign
-3144.224380602325,Benign
12147.021387396904,Benign
2416.905005604247,Benign
1470.2505677614238,Benign
-4086.9503206473637,Malignant
479.9526973908571,Malignant
19328.970988096553,Malignant
-2690.8621082002123,Malignant
-2091.169693696615,Malignant
-1242.1332483851443,Malignant
-21.147042480076855,Malignant
11670.42596177742,Malignant
-1726.7335359286012,Malignant
1229.1193974647554,Malignant
12162.96859164322,Malignant
12065.85954583774,Malignant
14931.106137411285,Malignant
-2475.7037713786076,Malignant
-1158.4005843564582,Malignant
-4853.157706279086,Malignant
-2898.944865505397,Malignant
7552.812774988692,Malignant
1292.7969683601498,Malignant
11110.897320173934,Malignant
-4882.583977436469,Normal
-4776.066279496435,Normal
-4598.1904471945,Normal
-4906.999385793225,Normal
-5205.412045467354,Normal
-4748.24367267736,Normal
-5203.272995550856,Normal
-3810.728380510274,Normal
-3841.950469944614,Normal
-4680.37581232579,Normal
-3238.263438971385,Normal
-5006.991081856796,Normal
-4321.615383608385,Normal
-4322.771734099156,Normal
-5128.135656156571,Normal
-5174.743122443471,Normal
-4037.3425073464587,Normal
-5166.366513798643,Normal
-4958.573845812038,Normal
